board	N	2-2	Room and board .	He nailed boards across the windows .

circulate	V	0-4	Circulate a rumor .	This letter is being circulated among the faculty .

domesticity	N	4-6	Making a hobby of domesticity .	A royal family living in unpretentious domesticity .

acquisition	N	3-7	The child 's acquisition of language .	That graphite tennis racquet is quite an acquisition .

meeting	N	3-1	There was no meeting of minds .	The meeting elected a chairperson .

nude	N	4-4	They swam in the nude .	The marketing rule ' nude sells ' spread from verbal to visual mainstream media in the 20th century .

association	N	7-2	Conditioning is a form of learning by association .	Many close associations with England .

inclination	N	2-1	The alkaline inclination of the local waters .	An inclination of his head indicated his agreement .

piggyback	V	3-1	An amendment to piggyback the current law .	He piggybacked her child so she could see the show .

pick	V	1-3	To pick rags .	Do n't always pick on your little brother .

belabor	V	0-2	Belabor the obvious .	She was belabored by her fellow students .

tear	N	12-3	He took the manuscript in both hands and gave it a mighty tear .	There were big tears rolling down Lisa 's cheeks .

kill	V	0-1	Kill the engine .	He killed the ball .

assurance	N	1-1	An assurance of help when needed .	His assurance in his superiority did not make him popular .

fuzz	N	9-1	He tried to clear his head of the whisky fuzz .	Peach fuzz .

char	N	10-11	“ Among other native delicacies , they give you fresh char . ” .	“ I had to scrub the kitchen today , because the char could n't come ” .

response	N	4-1	This situation developed in response to events in Africa .	His responses have slowed with age .

catch	N	1-3	The catch was only 10 fish .	He shared his catch with the others .

shadiness	N	4-1	There 's too much shadiness to take good photographs .	The shadiness of their transactions .

passage	N	2-6	The outward passage took 10 days .	She struggled to play the difficult passages .

distribute	V	4-2	The publisher wants to distribute the book in Asia .	The function distributes the values evenly .

dissipation	N	1-1	The dissipation of the mist .	Mindless dissipation of natural resources .

portfolio	N	9-3	He remembered her because she was carrying a large portfolio .	He holds the portfolio for foreign affairs .

play	N	3-5	They gave full play to the artist 's talent .	It was all done in play .

rise	N	6-1	They asked for a 10 % rise in rates .	The rising of the Holy Ghost .

plenty	N	2-4	There was plenty of food for everyone .	It must have cost plenty .

look	N	1-1	A look of triumph .	His look was fixed on her eyes .

wait	V	3-0	She used to wait down at the Dew Drop Inn .	Wait here until your car arrives .

bottom	N	4-9	They started at the bottom of the hill .	They did much of their overseas trade in foreign bottoms .

wash	V	5-2	This silly excuse wo n't wash in traffic court .	The cat washes several times a day .

seem	V	1-1	I seem to be misunderstood by everyone .	There seems no reason to go ahead with the project now .

ruin	V	3-3	This behavior will ruin your chances of winning the election .	The country lay ruined after the war .

stripe	N	3-3	Businessmen of every stripe joined in opposition to the proposal .	They earned their stripes in Kuwait .

nut	N	7-5	He was driving his car like a nut .	I kicked him in the nuts .

develop	V	2-2	Children must develop a sense of right and wrong .	We have developed a new theory of evolution .

pressure	N	2-6	He used pressure to stop the bleeding .	The sensitivity of his skin to pressure and temperature was normal .

strike	V	0-2	Strike an arc .	The clock struck midnight .

shtik	N	3-7	He 's a shtik crazy .	How did you ever fall for a shtik like that ?

tremor	N	3-4	She felt a tremor in her stomach before going on stage .	Did you feel the tremor this morning ?

whitewash	V	3-10	Let 's not whitewash the crimes of Stalin .	In his sermon , the minister did n't try to whitewash over the sins of his church .

reflect	V	13-4	People do that sort of thing every day , without ever stopping to reflect on the consequences .	The teacher 's ability reflects well on the school .

harbour	N	6-7	The city has an excellent natural harbour .	The neighbourhood is a well - known harbour for petty thieves .

absorb	V	0-1	Absorb the costs for something .	He absorbed the knowledge or beliefs of his tribe .

round	N	1-3	The round of the seasons .	The postman 's rounds .

resolution	N	3-6	Printing at higher resolution will cause a reduction in performance .	They never did achieve a final resolution of their differences .

trailer	N	1-14	The trailer for that movie makes it seem like it would be fun .	At the end of the day , we put the snowmobiles back on the trailer .

dinner	N	7-6	Guests should never be late to a dinner party .	On Sundays they had a large dinner when they returned from church .

growth	N	1-1	A growth of hair .	The growth of culture .

buzz	N	1-1	The buzz of excitement was so great that a formal denial was issued .	The buzz of a bumble bee .

beat	N	8-1	In the old days a policeman walked a beat and knew all his people by name .	A beat of the heart .

footprint	N	5-1	The computer had a desktop footprint of 10 by 16 inches .	The footprints of an earlier civilization .

militarize	V	0-0	Militarize the Civil Service .	Militarize Germany again after the war .

submerge	V	0-2	Submerge your head completely .	The submarine submerged in the water .

calibrate	V	0-1	Calibrate a gun .	He calibrated the thermometer for the Celsius scale .

kick	N	1-11	The kick must be synchronized with the arm movements .	A sidecar is a smooth drink but it has a powerful kick .

remove	V	0-2	Remove a wrapper .	The President removed many postmasters .

crash	V	2-2	You can crash here , though it 's not very comfortable .	The terrorists crashed the plane into the palace .

smoothness	N	11-2	The weather system of the Pacific is determined by the uninterrupted smoothness of the ocean .	His oily smoothness concealed his guilt from the police .

cloister	V	0-1	Cloister the garden .	She cloistered herself in the office .

mess	N	4-5	The house was a mess .	My boss dumped a whole mess of projects on my desk today .

burn	V	0-3	Burn a CD .	My eyes are burning .

map	V	0-0	Map the genes .	Map the surface of Venus .

mandate	V	0-7	Mandate a colony .	The new director of the school board mandated regular tests .

way	N	7-4	They did n't have much in the way of clothing .	We went our separate ways .

avail	V	2-1	It will avail them to dispose of their booty .	He availed himself of the available resources .

crop	N	2-2	The annual crop of students brings many new ideas .	The latest crop of fashions is about to hit the stores .

drag	V	3-2	Time seems to drag when you 're waiting for a bus .	The speech dragged on for two hours .

chisel	V	0-2	Chisel the marble .	Who 's chiseling on the side ?

snatch	N	2-1	Martin 's snatch at the bridle failed and the horse raced away .	Overheard snatches of their conversation .

building	N	2-1	The entire building complained about the noise .	The building of the bridge will be completed in a couple of weeks .

scallop	V	0-0	Scallop the hem of the dress .	Scallop the meat .

exchange	N	4-1	They had a bitter exchange .	An exchange of cattle for grain .

apology	N	3-1	It was an apology for a meal .	The Apology of Socrates .

wish	N	3-2	He got his wish .	My best wishes .

reinstatement	N	1-15	Her reinstatement to her former office followed quickly .	Many people are unhappy with the sacking of the chief constable and demand his immediate reinstatement .

watch	V	9-3	Put a little baking soda in some vinegar and watch what happens .	The world is watching Sarajevo .

installation	N	8-2	He gave a speech as part of his installation into the hall of fame .	The telephone installation took only a few minutes .

touch	V	3-7	He could not touch the meaning of the poem .	Helen Keller felt the physical world by touching people and objects around her .

drought	N	10-5	When England defeated Pakistan it ended a ten - year drought .	Farmers most affected by the drought hope that there may yet be sufficient rain early in the growing season .

excite	V	0-6	Excite the neurons .	The fireworks which opened the festivities excited anyone present .

help	N	3-3	There 's no help for it .	I need some help with my homework .

profession	N	1-6	A profession of disagreement .	My father was a barrister by profession .

strip	N	6-3	He welded together some pieces of strip .	She did a strip right in front of everyone .

capacity	N	2-7	Limited runway capacity .	He should be retained in his present capacity at a higher salary .

frame	N	2-9	A lace frame .	His starved flesh hung loosely on his once imposing frame .

solemnize	V	4-2	The couple chose to solemnize their relationship in a secular ceremony , instead of having a wedding .	The King solemnized this day of morning .

drawing	N	1-8	The drawing of water from the well .	He did complicated pen - and - ink drawings like medieval miniatures .

plan	V	0-1	Plan an attack .	He plans to be in graduate school next year .

hit	V	0-3	Hit the bottle .	He tries to hit on women in bars .

criticize	V	2-2	Those who criticize others often are not perfect , either .	The paper criticized the new movie .

wake	N	7-3	There 's no weeping at an Irish wake .	The motorboat 's wake capsized the canoe .

block	V	0-3	Block the signals emitted by this station .	The thick curtain blocked the action on the stage .

point	V	0-4	Point a gun .	It 's rude to point at other people .

glimpse	N	7-4	From the window he could catch a glimpse of the lake .	He caught only a glimpse of the professor 's meaning .

bracket	V	1-0	Please bracket this remark .	Bracket bookshelves .

attack	N	4-1	He published an unexpected attack on my work .	An attack of diarrhea .

tilt	N	3-5	The court 's tilt toward conservative rulings .	The tower had a pronounced tilt .

reline	V	0-6	Reline the paper .	The old fur coat must be relined .

square	N	10-3	The carpenter who built this room must have lost his square .	64 is the square of 8 .

sophistication	N	5-6	He practiced the art of sophistication upon reason .	Understanding affine transformations requires considerable mathematical sophistication .

muscle	N	4-0	The senators used their muscle to get the party leader to resign .	Muscle consists largely of actin and myosin filaments .

fiddle	V	2-2	Do n't fiddle with the screws .	She always fiddles with her van on the weekend .

harass	V	0-2	Harass the enemy .	This man harasses his female co - workers .

sequence	N	5-4	He played the trumps in sequence .	The doctor saw a sequence of patients .

incorporate	V	0-3	Incorporate this document with those pertaining to the same case .	The company was incorporated in 1980 .

fiefdom	N	3-20	The duke 's fiefdom had been greatly expanded as a reward for his dutiful military service on behalf of the king .	Most of our company 's computers are standardized , but the IT director allows the employees in his own little fiefdom to specify their own machines .

